Luke Skywalker, M
See 3PO, M
R2 D2, M
Darth Vader, M
Leia Organa, F
Owen Lars, M
Beru W Lars, M
R5 D4, M
Biggs Darklighter, M
Obi-Wan Kenobi, M
Anakin Skywalker, M
Wilhuff Tarkin, M
Chewbacca Smith, M
Han Solo, M
Greedo Lancaster, M
Jabba D Tiure, M
Wedge Antilles, M
Jek T Porkins, M
Yoda T Great, M
Palpatine Sith, M
Boba Fett, M
Bossk T Haroon, M
Lando Calrissian, M
Lobot K James, M
Ackbar M Polo, M
Mon T Mothma, F
Arvel R Crynyd, F
Wicket S Warrick, M
Nien Nunb, F
Qui-Gon Jinn, M
Nute J Gunray, F
Finis Valorum, F
Jar J Binks, M
Roos Tarpals, F
Rugor Nass, M
Ric Olié, M
Watto Hardfort, M
Sebulba Hammer, M
Quarsh Panaka, M
Shmi Skywalker, F
Darth S Maul, M
Bib Q Fortuna, F
Ayla A Secura, F
Dud Bolt, M
Gasgano Trip, M
Ben L Quadinaros, M
Mace J Windu, M
Ki-Adi Mundi, M
Kit Fisto, M
Eeth Koth, M
Adi Gallia, F
Saesee Tiin, F
Yarael Poof, F
Plo P Koon, M
Mas M Amedda, F
Gregar J Typho, M
Cordé Haans, M
Cliegg Lars, M
Poggle T Lesser, M
Luminara Unduli, F
Barriss Offee, M
Dormé Richmond, M
Count Dooku, M
Bail P Organa, M
Jango Fett, M
Zam Wesell, M
Dexter Jettster, M
Lama Su, F
Taun We, F
Jocasta Nu, M
Ratts Tyerell, M
R4 P17, F
Wat B Tambor, M
San Hill, F
Shaak Ti, F
General Grievous, M
Tarfful Cranes, M
Raymus Z Antilles, M
Sly Moore, F
Tion Medon, F
Finn Yankee, M
Rey Light, F
Poe Dameron, M
Bee B Eight, F
Captain Phasma, M
Padmé Amidala, F
Regulus A Black, M
Sirius Black, M
Lavender Brown, F
Cho Chang, F
Vincent Crabbe, M
Fleur Delacour, F
Cedric Diggory, M
Alberforth Dumbledore, M
Albus Dumbledore, M
Dudley Dursley, M
Petunia Z Dursley, F
Vernon Dursley, M
Argus T Filch, M
Seamus Finnigan, M
Nicolas Flamel, M
Cornelius Fudge, M
Goyle Srack, M
Gregory Goyle, M
Hermione Granger, F
Rubeus J Hagrid, M
Igor W Karkaroff, M
Viktor k Krum, M
Bellatrix U Lestrange, F
Alice P Longbottom, F
Frank N Longbottom, M
Neville O Longbottom, M
Luna L Lovegood, F
Xenophilius R Lovegood, M
Remus I Lupin, M
Draco L Malfoy, M
Lucius M Malfoy, M
Narcissa G Malfoy, F
Olympe F Maxime, M
Minerva E McGonagall, F
Mad E Moody, M
Peter C Pettigrew, M
Harry Potter, M
James H Potter, M
Lily J Potter, F
Quirinus J Quirrell, M
Tom Riddle, M
Mary H Riddle, F
Lord D Voldemort, M
Rita S Skeeter, F
Severus P Snape, M
Nymphadora N Tonks, F
Dolores J Umbridge, F
Arthur Weasley, M
Bill Weasley, M
Charlie Weasley, M
Fred Weasley, M
George L Weasley, M
Ginny K Weasley, F
Molly J Weasley, F
Percy Weasley, M
Ron Weasley, M
Dobby Ranger, M
Fluffy Duck, M
Hedwig Lucifer, F
Moaning Myrtle, F
Aragog Donald, M
Grawp King, M
heuristic wing, M
silly swartz, M
vigilant jackson, F
hopeful panini, F
suspicious noyce, M
nifty mccarthy, F
stupefied borg, M
agitated lichterman, M
laughing panini, M
determined rosalind, F
thirsty heisenberg, M
loving banach, F
flamboyant dijkstra, F
confident brown, M
vigorous keller, M
nervous noether, M
reverent booth, F
suspicious hawking, M
flamboyant montalcini, F
thirsty kepler, F
elastic jang, F
sharp shannon, F
confident khorana, M
vigorous bohr, M
elegant boyd, M
loving brown, M
distracted goodall, M
gifted wing, F
compassionate bell, M
boring hamilton, M
happy goodall, F
tender khorana, M
hardcore northcutt, M
optimistic keller, F
musing wozniak, M
awesome mclean, M
priceless saha, M
upbeat babbage, M
objective banach, F
determined engelbart, M
determined albattani, M
nostalgic kirch, F
sharp davinci, M
friendly wescoff, M
fervent minsky, M
dreamy franklin, M
elegant hamilton, M
mystifying lovelace, F
kind kare, F
quizzical jang, M
elegant carson, F
brave noether, M
angry stonebraker, M
goofy hypatia, F
awesome lumiere, F
objective davinci, M
goofy lalande, M
pedantic shockley, M
happy kare, F
competent curran, M
laughing hopper, M
stupefied ritchie, M
quirky snyder, M
awesome varahamihira, M
vigilant saha, M
eloquent cray, M
dreamy leakey, M
zen bhabha, M
quirky raman, M
competent lewin, F
angry newton, M
adoring newton, M
inspiring bose, M
infallible darwin, M
dazzling kepler, M
eloquent kare, F
xenodochial jang, M
hungry sinoussi, F
brave mahavira, M
musing euler, M
vibrant liskov, M
vigilant curran, M
suspicious lamport, M
compassionate almeida, M
tender aryabhata, M
zealous perlman, M
unruffled galileo, M
zealous shirley, F
unruffled swartz, M
inspiring mahavira, M
priceless dijkstra, F
hardcore feynman, M
relaxed austin, M
wizardly wozniak, M
boring curie, F
practical nobel, M
clever wozniak, M
laughing carson, F
upbeat brahmagupta, M
stupefied bose, M
